Day+D6A1:D102,Time Spent,Check-In Time,Check-Out Time,Number of Project Deadline,Number of Homework Deadline,Number of Exam
2023-10-02,0,00:00,00:00,,,
2023-10-03,70,11:32,12:42,,,
2023-10-04,85,12:34,13:59,,,
2023-10-05,0,00:00,00:00,,,
2023-10-06,75,12:03,13:18,,,
2023-10-07,86,12:40,14:06,,,
2023-10-08,38,9:34,10:12,,,
2023-10-09,0,00:00,00:00,,,
2023-10-10,55,9:01,09:56,,,
2023-10-11,65,11:32,12:37,,,
2023-10-12,76,11:22,12:38,,,
2023-10-13,127,12:12,14:19,,,
2023-10-14,116,11:20,13:16,,,
2023-10-15,86,12:13,13:39,,,
2023-10-16,64,11:21,12:25,,,
2023-10-17,106,11:26,13:12,,,
2023-10-18,0,00:00,00:00,,1,
2023-10-19,0,00:00,00:00,,,
2023-10-20,43,17:52,18:35,,,
2023-10-21,112,12:55,14:47,,,
2023-10-22,73,14:59,16:13,,,
2023-10-23,0,00:00,00:00,,,
2023-10-24,49,11:22,12:11,,,
2023-10-25,104,12:16,14:00,,,
2023-10-26,0,00:00,00:00,,1,
2023-10-27,0,00:00,00:00,,1,
2023-10-28,77,16:32,17:49,,,
2023-10-29,67,13:32,14:39,,,
2023-10-30,108,11:42,13:30,,,
2023-10-31,0,00:00,00:00,,,
2023-11-01,0,00:00,00:00,,,
2023-11-02,0,00:00,00:00,1,,
2023-11-03,0,00:00,00:00,,1,
2023-11-04,48,12:28,13:16,,,
2023-11-05,102,9:38,11:20,,,
2023-11-06,0,00:00,00:00,1,,
2023-11-07,64,11:49,12:53,,,
2023-11-08,70,11:28,12:38,,,
2023-11-09,0,00:00,00:00,1,,
2023-11-10,39,17:52,18:31,,,
2023-11-11,86,11:08,12:34,,,
2023-11-12,59,9:09,10:08,,,
2023-11-13,71,12:23,13:34,1,,
2023-11-14,114,12:55,14:49,,,
2023-11-15,60,17:46,18:46,,,
2023-11-16,114,11:09,13:03,1,1,
2023-11-17,0,00:00,00:00,1,,
2023-11-18,40,17:08,17:48,,1,
2023-11-19,0,00:00,00:00,,1,
2023-11-20,0,00:00,00:00,1,,
2023-11-21,73,12:20,13:33,,,1
2023-11-22,116,12:08,14:04,,,
2023-11-23,0,00:00,00:00,1,,
2023-11-24,47,17:07,17:54,,,1
2023-11-25,0,00:00,00:00,,,1
2023-11-26,0,00:00,00:00,,,
2023-11-27,0,00:00,00:00,1,,2
2023-11-28,98,11:02,12:40,,,
2023-11-29,116,12:05,14:01,,,
2023-11-30,59,17:30,18:29,1,,
2023-12-01,54,17:23,18:17,,,
2023-12-02,78,11:45,13:03,,,
2023-12-03,94,12:33,14:07,,,
2023-12-04,69,12:51,14:00,1,,
2023-12-05,58,11:02,12:12,,,
2023-12-06,66,11:16,12:22,,,
2023-12-07,46,9:08,09:54,1,,
2023-12-08,0,00:00,00:00,,,
2023-12-09,37,9:20,09:57,,,
2023-12-10,60,17:47,18:47,,1,
2023-12-11,0,00:00,00:00,1,,
2023-12-12,63,12:42,13:45,,,
2023-12-13,35,9:23,09:58,,,
2023-12-14,0,00:00,00:00,1,,
2023-12-15,39,9:24,10:03,,,
2023-12-16,91,11:25,12:56,,,
2023-12-17,45,17:35,18:20,,1,
2023-12-18,0,00:00,00:00,1,,
2023-12-19,76,12:52,14:08,,,
2023-12-20,34,9:50,10:24,,,
2023-12-21,0,00:00,00:00,1,1,
2023-12-22,122,12:22,14:24,,,
2023-12-23,129,11:36,13:45,,,
2023-12-24,119,11:22,13:21,,,
2023-12-25,0,00:00,00:00,1,,
2023-12-26,65,12:46,13:51,,,
2023-12-27,92,12:25,13:57,,,
2023-12-28,31,17:44,18:15,,,
2023-12-29,107,12:07,13:54,,,
2023-12-30,31,9:31,10:02,,,
2023-12-31,0,00:00,00:00,,,
